0,レクサス,lexus
0,トヨタ,toyota
0,日産,nissan
0,ホンダ,honda
0,マツダ,mazda
0,スバル,subaru
0,三菱,mitsubishi
0,スズキ,suzuki
0,ダイハツ,daihatsu
0,光岡,mitsuoka
0,イスズ,isuzu
0,ABARTH,abarth
0,ACURA,acura
0,ALFAROMEO,alfaromeo
0,ALPINA,alpina
0,ASTONMARTIN,astonmartin
0,AUDI,audi
0,AUSTINROVER,austinrover
0,AUTOBIANCHI,autobianchi
0,BENTLEY,bentley
0,BMW,bmw
0,BUICK,buick
0,CADILLAC,cadillac
0,CHEVROLET,chevrolet
0,CHRYSLER,chrysler
0,CITROEN,citroen
0,DODGE,dodge
0,FERRARI,ferrari
0,FIAT,fiat
0,FORD,ford
0,HOLDEN,holden
0,HUMMER,hummer
0,HYUNDAI,hyundai
0,INFINITI,infiniti
0,JAGUAR,jaguar
0,JEEP,jeep
0,LAMBORGHINI,lamborghini
0,LANCIA,lancia
0,LANDROVER,landrover
0,LINCOLN,lincoln
0,LOTUS,lotus
0,MASERATI,maserati
0,MERCEDESBENZ,mercedesbenz
0,MINI,mini
0,OPEL,opel
0,PEUGEOT,peugeot
0,PORSCHE,porsche
0,PROTON,proton
0,RENAULT,renault
0,ROVER,rover
0,SAAB,saab
0,SCION,scion
0,SMART,smart
0,TVR,tvr
0,VOLKSWAGEN,volkswagen
0,VOLVO,volvo
0,汎用品,hanyou
