自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
ALFAROMEO,ジュリア,,1962～1965/09,1600 スパイダー/スプリント/SS,57600,,290916,KONI-CL-qq-e-i-853k,出さない,フロント:80-1039×2<br>リア:80-1193×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,72000,出さない,出さない,,
ALFAROMEO,ジュリア,,1965/10～1978,Bertone GTV/Juniorを含む,48000,,290917,KONI-CL-qq-e-i-854k,出さない,フロント:80-1551×2<br>リア:80-1781×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,60000,出さない,出さない,,
ALFAROMEO,ジュリェッタ,,1955～1964,1300/Berlina 1300,57600,,291145,KONI-CL-qq-e-i-856k,出さない,フロント:80-1039×2<br>リア:80-1193×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,72000,出さない,出さない,,
ALFAROMEO,スパイダー,,1967～1993,1300/1600/1750/2000<br>デュエット/ベローチェを含む,48000,,291373,KONI-CL-qq-e-i-866k,出さない,フロント:80-1551×2<br>リア:80-1781×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,60000,出さない,出さない,,
AUSTINROVER,MG,,1967～1982,MG-B/MG-B-GT Coup<br>シャーシ番号:132.924までのスチールクロームバンパー車欧州仕様<br>シャシー番号:GHN5 360301からのラバーバンパーの車両<br>米国仕様シャシー番号:GHN5 360082からのラバーバンパーの車両<br>シャシー番号:GHD5 UE 361000までの車両<br>シャシー番号:GHD5 UE 361001からの車両,57600,,290902,KONI-CL-qq-e-i-1060k,出さない,フロント:80-2716×2<br>リア:80-1244SP1×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,72000,出さない,出さない,,
AUSTINROVER,トライアンフ,,1959～1971,ヘラルド,76800,,291123,KONI-CL-qq-e-i-1061k,出さない,フロント:80-1388×2<br>リア:80-1389×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUSTINROVER,トライアンフ,,1962～1971,ヴィテス,76800,,291124,KONI-CL-qq-e-i-1062k,出さない,フロント:80-1388×2<br>リア:80-1389×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUSTINROVER,トライアンフ,,1962～1980,スピットファイア MK I/II/III/IV/1500,76800,,291359,KONI-CL-qq-e-i-1065k,出さない,フロント:80-1388×2<br>リア:80-1389×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUSTINROVER,トライアンフ,,1966～1968,GT 6 MK I,76800,,291125,KONI-CL-qq-e-i-1063k,出さない,フロント:80-1388×2<br>リア:80-1389×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUSTINROVER,トライアンフ,,1974～1974,GT 6 MK III,76800,,291126,KONI-CL-qq-e-i-1064k,出さない,フロント:80-1388×2<br>リア:80-1389×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUSTINROVER,ミニ,,1960～2000,850/1000/1100/1275GT/クーパーモデル<br>ロワードサスペンション装着の車両を除く,48000,,291358,KONI-CL-qq-e-i-1057k,出さない,フロント:80-1675×2<br>リア:80-1794×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,60000,出さない,出さない,,
AUSTINROVER,ミニ,,1963～1970,クーパー含む<br>ロワードサスペンション装着の車両,54400,,291122,KONI-CL-qq-e-i-1059k,出さない,フロント:80-1717×2<br>リア:80-1795×2,KONI,CLASSIC,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,68000,出さない,出さない,,
CITROEN,トラクシオン アバン,,37～56,Traction15TourismeTAV,75200,,291127,KONI-CL-qq-e-i-314k,出さない,フロント:80-1196×2<br>リア:80-1196×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない,,
CITROEN,トラクシオン アバン,,37～56,Traction7and11TourismeTAV,75200,,291360,KONI-CL-qq-e-i-313k,出さない,フロント:80-1114×2<br>リア:80-1196×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない,,
FERRARI,308GTB GTS,,75～85,,185600,,290903,KONI-CL-qq-e-i-320k,出さない,フロント:82-1982SP6×2<br>リア:82-1983SP6×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,232000,出さない,出さない,,
FERRARI,ディーノ 206GT/246GT/246GTS,,69～74,,160000,,290904,KONI-CL-qq-e-i-321k,出さない,フロント:82-1579SP2×2<br>リア:82-1603SP2×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,200000,出さない,出さない
FIAT,500,,57～75,500/500D/500 ジャルディニエラ,59200,,291128,KONI-CL-qq-e-i-324k,出さない,フロント:80-1308×2<br>リア:80-1307×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,74000,出さない,出さない
JAGUAR,Mk II,,56～67,2.4/3.4/3.8リッター,68800,,290905,KONI-CL-qq-e-i-330k,出さない,フロント:82-1019×2<br>リア:82-1044×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
JAGUAR,Mk VII/VIII/IX,,54～59,,88000,,291362,KONI-CL-qq-e-i-331k,出さない,フロント:82-1027×2<br>リア:82-1081×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない
JAGUAR,Mk240/340,,67～69,,68800,,291361,KONI-CL-qq-e-i-329k,出さない,フロント:82-1019×2<br>リア:82-1044×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
JAGUAR,XK140,,54～57,,88000,,291129,KONI-CL-qq-e-i-332k,出さない,フロント:82-1027×2<br>リア:82-1081×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない
LANCIA,フラヴィア,,62～67/05,シャーシNo:815.000.1560以降,69600,,290906,KONI-CL-qq-e-i-342k,出さない,フロント:80-1500×2<br>リア:80-1501×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,87000,出さない,出さない
LANCIA,フラヴィア,,63～76,1300C<br>シャーシNo:815.000.1560以降,69600,,291130,KONI-CL-qq-e-i-344k,出さない,フロント:80-1500×2<br>リア:80-1501×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,87000,出さない,出さない
LANCIA,フラヴィア,,64～66,ザガートスポーツ,69600,,290907,KONI-CL-qq-e-i-343k,出さない,フロント:80-1500×2<br>リア:80-1501×2,KONI,CLASSIC,1台分,STD/STD,,複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,87000,出さない,出さない
MERCEDESBENZ,180/180D/190/190D/190B/190DB/219/220/220A/220S,,55～62,,70400,,290908,KONI-CL-qq-e-i-363k,出さない,フロント:80-1092×2<br>リア:80-1104×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,88000,出さない,出さない
MERCEDESBENZ,Eクラス,W123 セダン/クーペ,76～85,200D/220D/240D(taxi-cars),68800,,291132,KONI-CL-qq-e-i-427k,出さない,フロント:26-1157×2<br>リア:30-1020×2,KONI,CLASSIC,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
MERCEDESBENZ,SLクラス,R107,71～91,,67200,,291366,KONI-CL-qq-e-i-450k,出さない,フロント:26-1019×2<br>リア:30-1020×2,KONI,CLASSIC,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,84000,出さない,出さない
MERCEDESBENZ,SLクラス,W113,63～71,230SL/250SL/280SL,60000,,290909,KONI-CL-qq-e-i-451k,出さない,フロント:80-1415×2<br>リア:80-1416×2,KONI,CLASSIC,1台分,STD/STD,,本体色=ブラック,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,75000,出さない,出さない
MERCEDESBENZ,Sクラス,W108/W109 セダン/クーペ,66～72,,60000,,291364,KONI-CL-qq-e-i-447k,出さない,フロント:80-1415×2<br>リア:80-1416×2,KONI,CLASSIC,1台分,STD/STD,,本体色=ブラック,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,75000,出さない,出さない
MERCEDESBENZ,Sクラス,W116,73～80,6.9リッターを除く<br>エアーサスペンション除く,68800,,291365,KONI-CL-qq-e-i-448k,出さない,フロント:26-1157×2<br>リア:30-1020×2,KONI,CLASSIC,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
MERCEDESBENZ,Sクラス,W126/C126 セダン/クーペ,80～91,,68800,,291133,KONI-CL-qq-e-i-449k,出さない,フロント:26-1157×2<br>リア:30-1020×2,KONI,CLASSIC,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
